areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2021-01-08,3549,42339
E92000001,England,nation,2021-01-07,3849,46860
E92000001,England,nation,2021-01-06,3967,51321
E92000001,England,nation,2021-01-05,3697,58051
E92000001,England,nation,2021-01-04,3587,69118
E92000001,England,nation,2021-01-03,3351,49513
E92000001,England,nation,2021-01-02,3145,54177
E92000001,England,nation,2021-01-01,3010,28226
E92000001,England,nation,2020-12-31,2536,46698
E92000001,England,nation,2020-12-30,2861,62887
E92000001,England,nation,2020-12-29,2886,72510
E92000001,England,nation,2020-12-28,2795,40040
E92000001,England,nation,2020-12-27,2572,42440
E92000001,England,nation,2020-12-26,2298,36717
E92000001,England,nation,2020-12-25,1952,12673
E92000001,England,nation,2020-12-24,1795,28697
E92000001,England,nation,2020-12-23,1980,37612
E92000001,England,nation,2020-12-22,2203,40903
E92000001,England,nation,2020-12-21,2115,42599
E92000001,England,nation,2020-12-20,1976,28945
E92000001,England,nation,2020-12-19,1812,21743
E92000001,England,nation,2020-12-18,1672,31839
E92000001,England,nation,2020-12-17,1873,29612
E92000001,England,nation,2020-12-16,1796,30126
E92000001,England,nation,2020-12-15,1730,29095
E92000001,England,nation,2020-12-14,1746,29511
E92000001,England,nation,2020-12-13,1581,18127
E92000001,England,nation,2020-12-12,1587,16030
E92000001,England,nation,2020-12-11,1450,19870
E92000001,England,nation,2020-12-10,1524,18542
E92000001,England,nation,2020-12-09,1550,17464
E92000001,England,nation,2020-12-08,1528,16671
E92000001,England,nation,2020-12-07,1466,17394
E92000001,England,nation,2020-12-06,1311,10870
E92000001,England,nation,2020-12-05,1186,10139
E92000001,England,nation,2020-12-04,1248,12883
E92000001,England,nation,2020-12-03,1337,12530
E92000001,England,nation,2020-12-02,1262,13467
E92000001,England,nation,2020-12-01,1271,13522
E92000001,England,nation,2020-11-30,1216,15028
E92000001,England,nation,2020-11-29,1215,8904
E92000001,England,nation,2020-11-28,1065,9205
E92000001,England,nation,2020-11-27,1055,12268
E92000001,England,nation,2020-11-26,1198,12275
E92000001,England,nation,2020-11-25,1415,13931
E92000001,England,nation,2020-11-24,1277,14029
E92000001,England,nation,2020-11-23,1385,16204
E92000001,England,nation,2020-11-22,1333,10038
E92000001,England,nation,2020-11-21,1255,10619
E92000001,England,nation,2020-11-20,1316,14678
E92000001,England,nation,2020-11-19,1484,15497
E92000001,England,nation,2020-11-18,1571,18209
E92000001,England,nation,2020-11-17,1491,20320
E92000001,England,nation,2020-11-16,1560,23722
E92000001,England,nation,2020-11-15,1467,14210
E92000001,England,nation,2020-11-14,1388,16032
E92000001,England,nation,2020-11-13,1433,21649
E92000001,England,nation,2020-11-12,1666,21953
E92000001,England,nation,2020-11-11,1711,24637
E92000001,England,nation,2020-11-10,1592,24468
E92000001,England,nation,2020-11-09,1551,28103
E92000001,England,nation,2020-11-08,1488,17965
E92000001,England,nation,2020-11-07,1319,16622
E92000001,England,nation,2020-11-06,1182,20829
E92000001,England,nation,2020-11-05,1346,20873
E92000001,England,nation,2020-11-04,1382,20690
E92000001,England,nation,2020-11-03,1246,22312
E92000001,England,nation,2020-11-02,1331,27934
E92000001,England,nation,2020-11-01,1280,13370
E92000001,England,nation,2020-10-31,1240,14345
E92000001,England,nation,2020-10-30,1109,19644
E92000001,England,nation,2020-10-29,1345,19961
E92000001,England,nation,2020-10-28,1239,20233
E92000001,England,nation,2020-10-27,1190,20484
E92000001,England,nation,2020-10-26,1279,22759
E92000001,England,nation,2020-10-25,1186,13165
E92000001,England,nation,2020-10-24,990,13519
E92000001,England,nation,2020-10-23,997,18104
E92000001,England,nation,2020-10-22,987,19610
E92000001,England,nation,2020-10-21,997,21485
E92000001,England,nation,2020-10-20,925,21324
E92000001,England,nation,2020-10-19,861,22104
E92000001,England,nation,2020-10-18,870,11853
E92000001,England,nation,2020-10-17,785,12351
E92000001,England,nation,2020-10-16,632,14549
E92000001,England,nation,2020-10-15,792,15236
E92000001,England,nation,2020-10-14,706,16435
E92000001,England,nation,2020-10-13,764,15438
E92000001,England,nation,2020-10-12,664,16199
E92000001,England,nation,2020-10-11,628,9654
E92000001,England,nation,2020-10-10,515,10153
E92000001,England,nation,2020-10-09,544,13012
E92000001,England,nation,2020-10-08,513,15263
E92000001,England,nation,2020-10-07,491,15184
E92000001,England,nation,2020-10-06,524,14288
E92000001,England,nation,2020-10-05,472,14038
E92000001,England,nation,2020-10-04,478,9832
E92000001,England,nation,2020-10-03,386,9699
E92000001,England,nation,2020-10-02,371,11576
E92000001,England,nation,2020-10-01,368,11306
E92000001,England,nation,2020-09-30,328,10521
E92000001,England,nation,2020-09-29,310,8717
E92000001,England,nation,2020-09-28,308,8573
E92000001,England,nation,2020-09-27,241,6024
E92000001,England,nation,2020-09-26,245,5648
E92000001,England,nation,2020-09-25,274,6030
E92000001,England,nation,2020-09-24,288,6293
E92000001,England,nation,2020-09-23,314,5886
E92000001,England,nation,2020-09-22,268,5353
E92000001,England,nation,2020-09-21,275,4695
E92000001,England,nation,2020-09-20,237,4625
E92000001,England,nation,2020-09-19,204,4175
E92000001,England,nation,2020-09-18,205,4271
E92000001,England,nation,2020-09-17,199,3942
E92000001,England,nation,2020-09-16,183,3742
E92000001,England,nation,2020-09-15,194,3040
E92000001,England,nation,2020-09-14,172,2892
